review_id,steam_id,playtime_forever,review_text,voted_up,bug_detected,timestamp_created
87974882,76561198133976807,361,"jogo muito bom e divertido, jogabilidade ótima e fluida, alem do visual e trilha sonora divertidos",True,False,1615060230
87858266,76561198055152770,388,é bonzinho,True,False,1614894158
87780212,76561198810981458,994,jogo muito bom para se jogar e fica ainda melhor com um amigo porém a falta de um multiplayer online dificulta para se jogar com um amigo,True,False,1614776146
87551523,76561199064226476,228,"jogo muito legal, gráficos bem bonitos. recomendo",True,False,1614442707
87444942,76561198298429970,437,muito bom.,True,False,1614296035
87316559,76561199004662605,571,dificuldade 🔲 uma senhora de 80 anos completaria 🔲 fácil 🔲 normal 🔲 difícil ✅ depende da dificuldade que escolher gráfico 🔲 ms paint 🔲 irrelevante 🔲 ruim ✅ bom 🔲 lindo gostoso 🔲 obra de arte trilha sonora 🔲 ruim 🔲 nada de especial ✅ boa 🔲 de arrepiar preço 🔲 poderia ser mais barato ✅ bom 🔲 na medida 🔲 muito caro 🔲 dinheiro jogado fora requisitos ✅ roda em uma batata 🔲 mais ou menos 🔲 pc gamer 🔲 computador da nasa vale a pena? 🔲 não ✅ sim (muito),True,False,1614118388
87193229,76561199094857118,443,"nossa que jojgo maravilhoso nao laga dependendo do seu pc os graficos sao bem feitos os inimigos sao uns babacas sem alma...oque deixa o jogo ainda melhor a musica e mt boa e combina perfeitamente com oque ta acontecendo. tem varios tipos de arma tipo pistola pistola boa escopeta metralhadora pistola op bagarai um tiro hit kill uma arma que parece uma sniper que o alcance e gigantesco e tira mt dano entre outras... e tem varios tipos de jogadores,o meu amigo disse que ele e do tipo tank imparavel(ele n falou isso mas foi tipo isso)que seria vai pra cima no maior fds. tem tmb o outro tipo que seria meio que cautelozo como eu que vai bem devagar que da so critico e mata numa e aproveita os vaos dos blocos. tem mais mas nao lembro :p tem tmb como fazer guerra entre os personagens sim isso mesmo da pra fazer guerra e matar os restantes quando todo mundo ja estiver morto,e so voce correr com por exemplo um cachorro ate um pato e sair com o dash e feito! voce fez uma guerra. mas tem algo chato que e o campo de visao dos inimigos se voce ta atras de uma pedra sem ter como eles te veem eles veem voce de qualquer jeito,podiam colocar um campo de visao e nao um circulo que oque entra e visto mesmo que esteja atras de uma parede tipo voce esta atraz da parede com o circulo voce e visto,mas se voce estiver atras de uma parede com o campo de visao voce nao seria visto e daria pra ser mio que ''stelf'' mas e so isso o ponto ruim tem varias outras coisas mas este e o principal.",True,True,1613948606
87166454,76561198379766475,143,bom,True,False,1613916649
87128542,76561198133033333,485,é bão e é de graça,True,False,1613865823
87109878,76561198453934064,176,"o jogo é bem divertido na verdade, a pixel art é bem charmosa e a ost combina bem com o clima do jogo, nada de incrível más é legal. não é um jogo cheio de conteúdo, más manda bem no que se propõe (fora que é um jogo gratuito né...) e tem um fator de rejogabilidade interessante, como multiplayer. vale umas boas horas",True,False,1613843255
86990306,76561199038416208,74,bacaninha,True,False,1613694871
86913508,76561198418779320,500,muito divertido pra passar o tempo e se desafiar.,True,False,1613602936
86769981,76561198072572819,95,"é um jogo muito divertido, feito por uma desenvolvedora brasileira de jogos. vale a pena jogar este e outros jogos deles para apoiar o mercado brasileiro de games. :d",True,False,1613451550
86749335,76561198286137883,197,bonzinho no começo mas depois fica bem enjoativo e massante.,True,False,1613427086
86722860,76561198872128176,1456,muito divertido,True,False,1613402549
86644733,76561198013353873,425,esse jogo mudou minha vida consegui um emprego na nasa por causa dele,True,False,1613322198
86627774,76561198319174289,393,viciante demais,True,False,1613308677
86597921,76561198441022104,532,"muito legal, a gameplay é mt boa, o design e o visual dos personagens são bacanas, e se for pra falar algo ruim do jogo é a demora q o relic hunters legend ta tendo, eu to esperando esse jogo a tanto tempo e até hj n lançou, quando lançar vai ter q ser um jogão em kkk",True,False,1613277074
86474117,76561198912643239,365,muito foda,True,False,1613144603
86463958,76561198954990881,160,a espera do relic hunters legends.,True,False,1613133720
86460373,76561198185402254,461,the game good,True,False,1613128602
86456865,76561198453019693,228,"não é um jogo ruim tlgd, mais é melhor ainda quando ainda se adquire cartas para vender no mercadin ^-^",True,False,1613124516
86431064,76561198839970619,126,é um otimo jogo para passar o tempo,True,False,1613089495
86423379,76561198001355067,406,"divertido, caprichado, bem feito; é um jogo simples, mas a soma das suas partes resultam numa experiência gostosa e potencialmente desafiadora. twin stick shooter com comandos rápidos e um visual e áudio que permitem jogar por períodos mais longos de tempo sem cansaço.",True,False,1613078909
86415623,76561198453763874,1892,jogo perfeito maravilhoso cheiroso abençoado maginifico explendido perfeição feita por deuses muito obg por horas de jogo e pelo lançamento do remaster e n vejo hora do novo jogo,True,False,1613070078
86222511,76561198875298350,279,"muito divertido, recomendo pra passar o tempo e se divertir",True,False,1612811587
86038062,76561198235842462,250,jogo incrivel. gostei de tudo. - seiji -,True,False,1612572168
86028684,76561199047644018,212,"muito bom, baixem, serio",True,False,1612558954
85973263,76561199044670193,855,"aquele roguelike gostoso de gostume, top, top",True,False,1612484893
85719807,76561198797487580,2916,bom,True,False,1612128380
85359351,76561198256681944,150,a tabom,True,False,1611628260
84608493,76561198321509527,384,m,True,False,1610539894
84230201,76561198254641881,953,"o jogo é bem legal ate, e por ser de graça, não tem motivos para não jogar. o jogo tem boas musicas, muitos personagens e tal. mas é bem mal balanceado em alguns modos, como no infinito. além disso, as conquistas são bemmmmmmm mais chatas do que outros jogos dos mesmos desenvolvedores. enfim, é bom para passar o tempo, mas bem chato para platinar.",False,False,1610037154
84151239,76561198974794293,11,a,False,False,1609942675
83654004,76561198375029180,87,"esse joguinho lembra um pouco o enter the gungeon, só qe é gratuito e ao invés de várias salinhas separadas é uma sala mediana cheia de inimigos por andar. é possível jogar single e coop (local ou online através do remote play), porém pra segunda opção uma pessoa precisa ficar no mouse e teclado e outra no controle. a jogabilidade é legalzinha, viciante pra qm gosta do estilo de visão de cima e lutas desafiadoras qe em caso de morte faz voltar tudo do zero. mas não se preocupe, pois qnto mais vcê repete as partidas, mais pontos vcê jnta até poder comprar pra iniciar direto no andar ao morrer. por exemplo, caso morra no terceiro andar e tenha pontos suficientes na base vcê pode comprar pra iniciar direto do segundo ou do terceiro andar, o qe já facilita bastante... mas ainda assim tenha em mente qe esse é um jogo difícil, então pra qm qr algo casual não vai ser de tanto agrado.. de todo modo vale a pena dar uma chance, afinal é gratuito e bem leve de baixar.",True,False,1609424746
83610924,76561198329410652,308,"simplesmente magnifico, ainda mais com um 2° player, recomendo dms, pfvr joguem",True,False,1609375135
83447300,76561198839210094,189,sim lucas,True,False,1609214227
83399671,76561198417068859,65,bom,True,False,1609171704
83118876,76561199013013607,206,faltou pvp nessa porra,False,False,1608908187
82301338,76561198142223124,675,boladãoooooooooooooooooooooooooooooooo!,True,False,1607895395
81989097,76561198909184646,2161,pica.,True,False,1607614925
81312074,76561198097331483,910,divertido e caótico,True,False,1606790199
81304787,76561198868052439,430,"puta jogo ótimo, por maior visibilidade de jogos br",True,False,1606784836
